time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1775579148265222100,-1.77077783203125,572.4877250669958,-1,-1,-33.4140166483597,546.6730316160681,-1,43.205839915518084,57.330321727785375,-70.64310133513987,-1
1775579150101840100,0.065840087890625,572.4877250669958,-1,-1,-33.4140166483597,546.6730316160681,-1,43.205839915518084,57.330321727785375,-70.64310133513987,-1
1775579150103262000,0.067261962890625,572.501127893483,-1,-1,-33.41401170829039,546.6864344425553,-1,39.5168560458941,58.28994602618813,-70.64310607958156,-1
1775579150128470000,0.092469970703125,572.4989238777308,-1,-1,-33.41401173170662,546.6842304268031,-1,39.539468901828066,58.30169467606866,-70.64310607525512,-1
1775579151605926400,1.569926513671875,573.078857421875,1.1699999570846558,40.64956348681824,-33.413996253109616,547.2641639709473,341.3671875,17.308371157730985,24,-70.64333213529922,1.690000057220459
1775579152316927500,2.280927490234375,573.170166015625,1.440000057220459,51.02505796817449,-33.41398571451208,547.3554725646973,341.3671875,12.722836450687835,24,-70.64333977234661,1.690000057220459
1775579153316932000,3.28093212890625,573.83056640625,0.5899999737739563,46.69999777061482,-33.41406169804144,548.0158729553223,341.3671875,11.131618979886186,3,-70.64335225827382,0.20999999344348907
1775579154002937600,3.9669375,574.210205078125,0.2800000011920929,44.08731039420696,-33.41406690199248,548.3955116271973,341.3671875,7.482651199867474,3,-70.64329683333173,0.3400000035762787
1775579155002939600,4.966939697265625,574.046142578125,1.0700000524520874,-1,-33.414066856720986,548.2314491271973,-1,7.73815900475722,3,-70.64328820005201,0.23000000417232513
1775579156002944500,5.966944580078125,573.9814453125,1.0700000524520874,-1,-33.41407794118522,548.1667518615723,-1,22.26798725999634,3,-70.64321903736025,0
1775579157000146400,6.964146484375,573.919921875,0.07000000029802322,-1,-33.414072010934696,548.1052284240723,-1,19.815398742494658,3,-70.64319981922306,0
1775579158000133400,7.96413330078125,573.8702392578125,0.07000000029802322,-1,-33.414084820456495,548.0555458068848,-1,22.305047312311917,3,-70.64321724520582,0
1775579159000130300,8.96413037109375,573.876220703125,1.0499999523162842,89.18807742727124,-33.414084508295225,548.0615272521973,283.7109375,22.28300305351983,3,-70.64322473027164,0
1775579160000116700,9.96411669921875,573.70654296875,1.0499999523162842,89.18807742727124,-33.41404814379578,547.8918495178223,283.7109375,21.767282389193625,3,-70.64324896634618,0
1775579161000105200,10.964105224609375,574.0482177734375,0.09000000357627869,89.18807742727124,-33.41405095562756,548.2335243225098,283.7109375,21.76730828782104,3,-70.64325835852244,0
1775579162000102000,11.964101806640626,574.31787109375,0.9800000190734863,99.44519106993283,-33.41405707776785,548.5031776428223,153.6328125,21.76733087455653,3,-70.6432661577242,0
1775579163000089000,12.964089111328125,574.4285888671875,1.2599999904632568,98.29416076081311,-33.414034980644566,548.6138954162598,352.96875,18.538084215622955,3.000252087682787,-70.64323621386002,0
1775579164000076000,13.964075927734376,574.88818359375,0.07999999821186066,98.29416076081311,-33.41403422962626,549.0734901428223,352.96875,18.705743369148568,3,-70.64324067433226,0
1775579165000074800,14.96407470703125,574.8881836086512,0.3080157138848601,-1,-33.41403435315214,549.0734901577234,-1,18.848297196006353,3.0000000000000004,-70.64324157615079,0
