seconds_elapsed,latitude,longitude
-1.7708,33.414,70.6431
0.0658,33.414,70.6431
0.0673,33.414,70.6431
0.0925,33.414,70.6431
1.5699,33.414,70.6433
2.2809,33.414,70.6433
3.2809,33.4141,70.6434
3.9669,33.4141,70.6433
4.9669,33.4141,70.6433
5.9669,33.4141,70.6432
6.9641,33.4141,70.6432
7.9641,33.4141,70.6432
8.9641,33.4141,70.6432
9.9641,33.414,70.6432
10.9641,33.4141,70.6433
11.9641,33.4141,70.6433
12.9641,33.414,70.6432
13.9641,33.414,70.6432
14.9641,33.414,70.6432
15.9641,33.414,70.6433
16.9641,33.414,70.6433
17.9641,33.414,70.6433
18.964,33.414,70.6433
19.964,33.414,70.6433
20.964,33.414,70.6433
21.964,33.414,70.6433
22.964,33.414,70.6433
23.964,33.414,70.6433
24.964,33.414,70.6433
25.964,33.414,70.6433
26.964,33.414,70.643
27.964,33.414,70.643
28.9641,33.414,70.643
29.9641,33.414,70.643
30.9641,33.414,70.6432
31.9641,33.414,70.6433
32.9641,33.414,70.6433
33.9641,33.414,70.6432
34.9641,33.414,70.6433
35.9641,33.414,70.6433
36.9641,33.4141,70.6434
37.9641,33.4141,70.6434
38.9641,33.4141,70.6434
39.9641,33.4141,70.6435
40.9641,33.4141,70.6435
41.9641,33.4141,70.6436
42.9641,33.4141,70.6436
43.9641,33.4141,70.6437
44.9641,33.4141,70.6437
45.9641,33.4142,70.6437
46.9641,33.4142,70.6437
47.9641,33.4143,70.6437
48.9641,33.4144,70.6437
49.9641,33.4144,70.6437
50.9641,33.4145,70.6437
51.9641,33.4146,70.6437
52.9641,33.4146,70.6437
53.9641,33.4146,70.6437
54.9641,33.4147,70.6437
55.9641,33.4147,70.6437
56.9641,33.4147,70.6437
57.9642,33.4148,70.6437
58.9642,33.4148,70.6437
59.9642,33.4148,70.6437
60.9642,33.4148,70.6437
61.9642,33.4148,70.6437
62.9642,33.4148,70.6437
63.9642,33.4148,70.6437
64.9642,33.4148,70.6437
65.9642,33.4148,70.6437
66.9642,33.4147,70.6437
67.9642,33.4148,70.6437
68.9642,33.4148,70.6437
69.9642,33.4148,70.6437
70.9642,33.4148,70.6437
71.9642,33.4148,70.6437
72.9642,33.4148,70.6437
73.9642,33.4148,70.6437
74.9642,33.4148,70.6437
75.9642,33.4148,70.6437
76.9642,33.4148,70.6437
77.9642,33.4148,70.6438
78.9642,33.4147,70.6438
79.9642,33.4147,70.6437
80.9643,33.4147,70.6437
81.9643,33.4147,70.6437
82.9643,33.4147,70.6437
83.9643,33.4147,70.6437
84.9643,33.4146,70.6437
85.9643,33.4146,70.6437
86.9643,33.4146,70.6437
87.9643,33.4146,70.6437
88.9643,33.4146,70.6437
89.9643,33.4146,70.6437
90.9643,33.4145,70.6437
