time,seconds_elapsed,dBFS
1776314258340000000,15.476,-36.54281997680664
1776314258445000000,15.581,-34.82682800292969
1776314258549000000,15.685,-32.67188262939453
1776314258651000000,15.787,-34.89200210571289
1776314258756000000,15.892,-34.8980598449707
1776314258858000000,15.993999755859376,-37.11069869995117
1776314258964000000,16.1,-32.6689338684082
1776314259068000000,16.204,-34.870975494384766
1776314259169000000,16.305,-32.11609649658203
1776314259275000000,16.411,-32.126712799072266
1776314259380000000,16.516,-32.98078918457031
1776314259485000000,16.621,-34.349693298339844
1776314259585000000,16.721,-32.53181838989258
1776314259690000000,16.825999755859375,-33.31850814819336
1776314259795000000,16.931,-28.062273025512695
1776314259900000000,17.036,-30.245834350585938
1776314260005000000,17.141,-29.61344337463379
1776314260111000000,17.247,-28.74972152709961
1776314260214000000,17.350000244140624,-30.86505699157715
1776314260319000000,17.455,-18.53045654296875
1776314260424000000,17.56,-14.643603324890137
1776314260529000000,17.665,-14.685757637023926
1776314260633000000,17.769,-6.376187324523926
1776314260740000000,17.876,-11.617319107055664
1776314260845000000,17.981,-15.859992027282715
1776314260950000000,18.086000244140624,-20.927818298339844
1776314261055000000,18.191,-24.686805725097656
1776314261158000000,18.294000244140626,-28.90799331665039
1776314261263000000,18.399,-32.24635314941406
1776314261368000000,18.504,-35.93610382080078
1776314261469000000,18.605,-37.400970458984375
1776314261574000000,18.710000244140623,-39.29570770263672
1776314261679000000,18.815,-39.30382537841797
1776314261784000000,18.92,-40.12449645996094
1776314261887000000,19.023,-39.70164108276367
1776314261992000000,19.128,-40.59296798706055
1776314262098000000,19.233999755859376,-39.7938117980957
1776314262203000000,19.339,-39.9091911315918
1776314262308000000,19.444,-23.069040298461914
1776314262413000000,19.549,-22.619937896728516
1776314262518000000,19.654000244140626,-22.898923873901367
1776314262623000000,19.759,-19.077796936035156
1776314262728000000,19.864,-20.20398712158203
1776314262829000000,19.965,-19.417922973632812
1776314262934000000,20.070000244140626,-21.748428344726562
1776314263039000000,20.175,-23.430816650390625
1776314263144000000,20.28,-26.876863479614258
1776314263249000000,20.385,-31.140464782714844
1776314263354000000,20.489999755859376,-33.89339065551758
1776314263460000000,20.596,-36.927490234375
1776314263560000000,20.696,-38.74562454223633
1776314263664000000,20.8,-39.821044921875
1776314263769000000,20.905,-40.21683120727539
1776314263870000000,21.006000244140626,-41.0746955871582
1776314263975000000,21.111,-42.40782928466797
1776314264080000000,21.216,-41.502464294433594
1776314264184000000,21.32,-41.8443717956543
1776314264289000000,21.425,-39.42843246459961
1776314264391000000,21.527,-40.36076354980469
1776314264496000000,21.632,-34.11245346069336
1776314264598000000,21.734000244140624,-12.169036865234375
1776314264701000000,21.837,-11.025713920593262
1776314264806000000,21.942000244140626,-15.504892349243164
1776314264912000000,22.048,-6.657567501068115
1776314265017000000,22.153,-10.864002227783203
1776314265122000000,22.257999755859377,-10.46764087677002
1776314265227000000,22.363,-14.916069030761719
1776314265328000000,22.464,-18.811859130859375
1776314265433000000,22.569,-23.05518341064453
1776314265538000000,22.673999755859374,-25.731365203857422
1776314265643000000,22.779,-29.401996612548828
1776314265746000000,22.881999755859376,-31.934627532958984
1776314265851000000,22.987,-24.697032928466797
1776314265956000000,23.092,-28.834936141967773
1776314266061000000,23.197,-31.58126449584961
1776314266162000000,23.297999755859376,-32.13252639770508
1776314266267000000,23.403,-30.634984970092773
1776314266369000000,23.505,-31.25202751159668
1776314266475000000,23.611,-28.07149314880371
1776314266580000000,23.716,-18.770376205444336
1776314266681000000,23.817,-21.937009811401367
1776314266786000000,23.921999755859375,-25.100662231445312
1776314266887000000,24.023,-25.57223129272461
1776314266992000000,24.128,-21.67367935180664
1776314267098000000,24.233999755859376,-23.53306007385254
1776314267198000000,24.334000244140626,-27.244001388549805
1776314267303000000,24.439,-29.827796936035156
1776314267407000000,24.543,-28.212955474853516
1776314267512000000,24.648,-26.328529357910156
1776314267617000000,24.753,-28.401636123657227
1776314267722000000,24.857999755859375,-30.678213119506836
1776314267828000000,24.964,-28.15353012084961
1776314267933000000,25.069,-30.194652557373047
1776314268033000000,25.169,-23.86466407775879
1776314268138000000,25.273999755859375,-27.359634399414062
1776314268241000000,25.377,-30.63384246826172
1776314268347000000,25.483,-33.74674987792969
1776314268452000000,25.588,-37.04896926879883
1776314268557000000,25.693,-39.980194091796875
1776314268662000000,25.798000244140624,-31.422399520874023
1776314268767000000,25.903,-35.358726501464844
1776314268872000000,26.008,-37.5092887878418
1776314268977000000,26.113,-38.88245391845703
1776314269083000000,26.219,-40.33157730102539
1776314269188000000,26.324,-30.051280975341797
1776314269293000000,26.429,-34.21864700317383
1776314269397000000,26.533,-36.717891693115234
1776314269501000000,26.637,-39.82399368286133
