time,seconds_elapsed,dBFS (Original),valor_normalizado (0-100)
1776314242906000000,0.041999755859375,-51.82467269897461,7.7687
1776314243020000000,0.156,-48.44139862060547,14.1046
1776314243120000000,0.256,-40.49396514892578,28.9878
1776314243221000000,0.357,-41.71487045288086,26.7014
1776314243337000000,0.473,-43.582698822021484,23.2035
1776314243437000000,0.573,-45.161739349365234,20.2464
1776314243554000000,0.689999755859375,-39.529083251953125,30.7947
1776314243671000000,0.807,-35.884735107421875,37.6195
1776314243771000000,0.907,-38.04365539550781,33.5765
1776314243871000000,1.007,-39.91798782348633,30.0664
1776314243988000000,1.124,-42.07740783691406,26.0225
1776314244104000000,1.24,-43.873687744140625,22.6586
1776314244221000000,1.357,-32.11632537841797,44.6766
1776314244321000000,1.457,-35.01404571533203,39.2501
1776314244438000000,1.574000244140625,-38.0275993347168,33.6066
1776314244554000000,1.689999755859375,-40.39391326904297,29.1752
1776314244654000000,1.790000244140625,-39.53501510620117,30.7836
1776314244755000000,1.891,-35.195552825927734,38.9101
1776314244855000000,1.991,-37.033966064453125,35.4673
1776314244958000000,2.094000244140625,-31.420705795288086,45.9793
1776314245071000000,2.207,-32.65632247924805,43.6654
1776314245171000000,2.307,-28.981338500976562,50.5475
1776314245288000000,2.424,-32.39957809448242,44.1462
1776314245388000000,2.524,-34.79841995239258,39.6539
1776314245488000000,2.624,-36.825958251953125,35.8569
1776314245588000000,2.724,-33.49625015258789,42.0924
1776314245688000000,2.824,-31.91373634338379,45.0560
1776314245805000000,2.941,-35.64611053466797,38.0664
1776314245921000000,3.057,-38.2852783203125,33.1240
1776314246038000000,3.174000244140625,-40.1129264831543,29.7014
1776314246138000000,3.273999755859375,-36.241233825683594,36.9519
1776314246255000000,3.391,-35.97920227050781,37.4426
1776314246355000000,3.491,-37.26991271972656,35.0255
1776314246472000000,3.608,-39.85063934326172,30.1925
1776314246588000000,3.724,-41.76416015625,26.6091
1776314246688000000,3.824,-42.97034454345703,24.3503
1776314246789000000,3.925,-35.90081787109375,37.5894
1776314246889000000,4.025,-37.54554748535156,34.5093
1776314246989000000,4.125,-29.00333023071289,50.5063
1776314247105000000,4.241,-26.528470993041992,55.1410
1776314247222000000,4.358000244140625,-28.490882873535156,51.4660
1776314247339000000,4.475,-27.255704879760742,53.7791
1776314247439000000,4.575,-28.494388580322266,51.4594
1776314247556000000,4.692,-29.715829849243164,49.1720
1776314247672000000,4.808,-31.120237350463867,46.5420
1776314247772000000,4.908,-32.248046875,44.4299
1776314247889000000,5.025,-35.449119567871094,38.4353
1776314248006000000,5.142000244140625,-37.985355377197266,33.6857
1776314248106000000,5.241999755859375,-35.80536651611328,37.7681
1776314248223000000,5.359,-30.732757568359375,47.2676
